OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,DistrctAreaSqMi,Shape__Area,Shape__Length
1,2024-25,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,PK,12,KG,12,"Differentiated, Year 1",13,09,18,SY 2018-19 Boundary Adjustment/Correction,10771,1479,9292,754,7,29,0.3,2673,24.8,477,4.4,1903,17.7,53,0.5,2880,26.7,1684,15.6,320,3,910,0.2,18,0.3,77,0.7,0,0,1356,12.6,3958,36.7,11.2489386051209,47554894.2539062,56522.9826830263
2,2024-25,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,PK,12,KG,12,General,13,09,15,,3694,0,3694,142,3.8,9,0.2,1125,30.5,59,1.6,653,17.7,2,0.1,899,24.3,495,13.4,205,5.5,446,0.1,3,0,23,0.6,0,0,357,9.7,1184,32.1,1.78998358293552,7096327.46484375,12696.3827974513
3,2024-25,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,PK,12,KG,12,"Differentiated, Year 1",13,09,15,,9162,0,9162,1036,11.3,20,0.2,754,8.2,74,0.8,2053,22.4,20,0.2,3742,40.8,1453,15.9,9,0.1,580,0.3,23,0.4,192,2.1,0,0,1111,12.1,2686,29.3,10.4343294254645,43646483.9492188,43695.3415383838
4,2024-25,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,PK,12,KG,12,"Differentiated, Year 1","13,15","07,09,10","18,20",SY 2018-19 Boundary Adjustment/Correction,9570,0,9570,383,4,8,0.1,3253,34,408,4.3,2346,24.5,40,0.4,1783,18.6,1003,10.5,327,3.4,1152,0.1,12,0.1,125,1.3,0,0,1113,11.6,3728,39,66.885570898398,283828532.914062,142492.767564508
5,2024-25,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,PK,12,KG,12,General,13,09,15,,590,0,590,233,39.5,0,0,50,8.5,7,1.2,151,25.6,5,0.8,64,10.8,64,10.8,12,2,84,1.2,7,0.2,15,2.5,0,0,81,13.7,412,69.8,1.27392906839723,5363392.45703125,13741.2728937254
6,2024-25,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,PK,12,KG,12,"Differentiated, Year 1","15,17",10,"20,25",,33134,394,32740,597,1.8,146,0.4,21443,64.7,1315,4,5368,16.2,155,0.5,2399,7.2,1277,3.9,351,1.1,5449,0.1,22,0.1,280,0.8,36,0.1,3481,10.5,10059,30.4,78.0118425259113,321018983.757812,163452.273562606
7,2024-25,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,PK,12,KG,12,"Differentiated, Year 1",15,10,20,SY 2018-19 Boundary Adjustment/Correction,19954,2577,17377,1312,6.6,43,0.2,1738,8.7,1258,6.3,13096,65.6,596,3,791,4,815,4.1,185,0.9,5992,0.2,42,0.2,285,1.4,329,1.6,2729,13.7,15128,75.8,34.3428108547221,141981818.476562,82372.3100621388
8,2024-25,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,PK,12,KG,12,"Differentiated, Year 1","11,15",07,"14,16,20",SY 2018-19 Boundary Adjustment/Correction,12968,0,12968,194,1.5,28,0.2,2036,15.7,350,2.7,4195,32.3,23,0.2,4998,38.5,1144,8.8,0,0,1200,0.2,22,0.2,140,1.1,91,0.7,1945,15,2847,22,264.481255125506,1103915430.32422,206081.113756893
9,2024-25,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,General,15,07,16,SY 2018-19 Boundary Adjustment/Correction,14,0,14,0,0,0,0,0,0,0,0,11,78.6,0,0,3,21.4,0,0,0,0,3,0,0,0,0,0,0,0,1,7.1,7,50,29.6148711885924,124796628.925781,55768.4684652416
10,2024-25,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,KG,12,KG,12,"Differentiated, Year 1",17,10,25,,4666,0,4666,120,2.6,9,0.2,850,18.2,381,8.2,2413,51.7,96,2.1,385,8.3,274,5.9,131,2.8,992,0.2,9,0.4,221,4.7,27,0.6,658,14.1,1966,42.1,13.9876678965308,58146582.9882812,39693.1048625914
11,2024-25,0626910,0161242,01612420000000,Alameda,New Haven Unified,Unified,PK,12,KG,12,"Differentiated, Year 1",15,10,20,,10069,0,10069,397,3.9,79,0.8,2876,28.6,1726,17.1,3681,36.6,156,1.5,566,5.6,534,5.3,26,0.3,1614,0.2,19,0.2,122,1.2,113,1.1,1195,11.9,5857,58.2,28.5198896674425,116528920.933594,89708.4021379594
12,2024-25,0628050,0161259,01612590000000,Alameda,Oakland Unified,Unified,PK,12,KG,12,"Differentiated, Year 1",13,09,"15,18",SY 2018-19 Boundary Adjustment/Correction,44647,10809,33838,8724,19.5,124,0.3,4061,9.1,315,0.7,22737,50.9,304,0.7,4479,10,2705,6.1,1178,2.6,14314,0.3,152,0.5,2406,5.4,1,0,7332,16.4,36074,80.8,53.1629482453201,222757863.027344,142807.117170189
